Education Type,Industry,Age,CoW,Education,Marital,Occupation,PoB,Hours,Sex,Race,State,Income,Log Income,Rank,Log Rank
post-high-school,LGL,24, Private Employee,19,One of Single,5000,US,40,Female,non White,Washington,50000,10.81977828,1785,7.487173694
high-school,LGL,38, Private Employee,17,Married,7700,US,48,Male,White,Maine,59000,10.98529272,1517,7.324489979
high-school,LGL,59, Private Employee,16,Separated,6410,US,40,Male,White,Arizona,30000,10.30895266,2949,7.989221409
high-school,LGL,19, Private Employee,16,Married,4720,US,35,Female,White,Minnesota,35000,10.46310334,2685,7.895436007
Master's degree,LGL,62,Self-Employed,22,Married,2600,US,10,Female,White,Washington,5400,8.594154233,4571,8.427487278
Master's degree,MGR,51, Private Employee,22,Married,140,US,45,Male,White,Wisconsin,150000,11.91839057,275,5.616771098
high-school,LGL,66,Self-Employed,16,One of Single,9130,US,60,Male,White,Maine,192000,12.16525065,183,5.209486153
Bachelor's degree,MGR,65, Private Employee,21,Divorced,440,US,50,Male,White,New York,157000,11.96400108,260,5.560681631
post-high-school,LGL,56, Private Employee,19,Divorced,9130,US,70,Male,non White,Georgia,60000,11.00209984,1409,7.250635512
high-school,LGL,32, Private Employee,16,One of Single,9600,US,30,Male,White,Mississippi,17500,9.76995616,3869,8.260751355
Professional degree,LGL,64,Self-Employed,23,Married,3100,US,20,Male,White,New Jersey,48000,10.77895629,1970,7.585788822
post-high-school,LGL,64,Self-Employed,18,Married,6230,US,35,Male,White,North Carolina,6940,8.845057054,4483,8.408047744
no diploma,LGL,17, Private Employee,15,One of Single,9645,US,25,Male,White,Pennsylvania,1500,7.313220387,4877,8.492285556
Master's degree,BUS,30,Government Employee,22,Married,710,US,38,Male,White,New Hampshire,50000,10.81977828,1785,7.487173694
no diploma,LGL,61, Private Employee,14,Divorced,6260,US,40,Male,White,New York,20400,9.92329018,3636,8.198639455
Master's degree,LGL,31, Private Employee,22,Separated,5740,US,40,Female,non White,New York,55000,10.91508846,1632,7.397561536
high-school,LGL,62, Private Employee,17,Married,5000,US,40,Female,White,Florida,32000,10.37349118,2855,7.956827122
post-high-school,LGL,22, Private Employee,19,Married,5400,US,4,Female,White,Georgia,1000,6.907755279,4910,8.499029221
Bachelor's degree,CMS,35,Government Employee,21,One of Single,2011,US,50,Female,White,Texas,50000,10.81977828,1785,7.487173694
Bachelor's degree,LGL,22, Private Employee,21,One of Single,3500,US,30,Female,White,Maryland,25000,10.1266311,3296,8.100464891
high-school,LGL,50, Private Employee,16,Separated,4210,US,40,Male,White,Florida,36000,10.49127422,2625,7.872836175
Bachelor's degree,LGL,72, Private Employee,21,Married,8130,US,20,Male,White,Indiana,80260,11.29302664,887,6.787844982
no diploma,LGL,33,Self-Employed,15,Married,4230,US,15,Female,White,Maine,15000,9.61580548,3962,8.284504227
high-school,LGL,50,Government Employee,17,Married,4220,US,40,Female,non White,South Carolina,20800,9.942708266,3620,8.194229305
Master's degree,MGR,45,Government Employee,22,Divorced,230,US,40,Female,White,North Carolina,111000,11.61728548,497,6.208590026
high-school,LGL,39, Private Employee,17,Married,8990,US,40,Male,White,Wisconsin,41000,10.62132735,2315,7.747164967
post-high-school,LGL,19, Private Employee,18,One of Single,4055,US,15,Female,White,Texas,2400,7.783224016,4797,8.475746002
Bachelor's degree,MGR,56, Private Employee,21,Married,10,non US,45,Male,non White,Michigan,200000,12.20607265,163,5.093750201
post-high-school,LGL,60,Government Employee,19,Widowed,9121,US,20,Female,White,Georgia,17180,9.751501196,3876,8.262558973
Master's degree,MGR,37, Private Employee,22,Married,440,non US,45,Male,non White,Massachusetts,170000,12.04355372,222,5.402677382
high-school,ENG,63, Private Employee,16,Married,1545,US,40,Male,White,Alabama,67000,11.1124479,1226,7.111512116
post-high-school,CMM,35, Private Employee,18,Married,1021,US,40,Male,White,Arizona,104000,11.55214618,565,6.336825731
post-high-school,LGL,22, Private Employee,19,One of Single,6442,US,50,Male,non White,Alaska,60000,11.00209984,1409,7.250635512
Bachelor's degree,CMM,55, Private Employee,21,Married,1021,non US,44,Female,non White,Pennsylvania,85000,11.35040654,811,6.698268054
Bachelor's degree,LGL,39, Private Employee,21,Married,2310,US,40,Female,White,Texas,55000,10.91508846,1632,7.397561536
high-school,LGL,62, Private Employee,16,Divorced,5400,US,40,Female,White,Alabama,30200,10.3155972,2942,7.986844901
no diploma,LGL,19, Private Employee,15,One of Single,4760,US,20,Male,White,Florida,10400,9.249561085,4256,8.356085031
high-school,LGL,49, Private Employee,17,Divorced,4251,US,40,Male,White,Wisconsin,50000,10.81977828,1785,7.487173694
post-high-school,MGR,38,Government Employee,19,Married,420,US,28,Female,non White,Virginia,10800,9.287301413,4251,8.354909528
Master's degree,CMS,57, Private Employee,22,Married,2050,US,40,Female,White,Arizona,28700,10.2646524,3118,8.04494705
Master's degree,LGL,45, Private Employee,22,Married,4850,US,50,Male,White,Ohio,86000,11.36210258,800,6.684611728
post-high-school,LGL,18, Private Employee,19,One of Single,4055,US,25,Female,White,Pennsylvania,5000,8.517193191,4584,8.430327258
high-school,LGL,58, Private Employee,16,One of Single,8720,US,40,Male,White,Iowa,24000,10.08580911,3408,8.133880888
high-school,LGL,53, Private Employee,16,One of Single,6050,US,50,Male,White,Missouri,416000,12.93844054,55,4.007333185
Bachelor's degree,BUS,34, Private Employee,21,Married,630,US,40,Female,White,North Carolina,160000,11.98292909,254,5.537334267
high-school,LGL,46, Private Employee,17,Married,2300,non US,25,Female,White,Georgia,12000,9.392661929,4149,8.33062262
high-school,LGL,72,Self-Employed,16,Widowed,4230,non US,5,Male,White,Washington,14320,9.569412441,4058,8.30844552
high-school,LGL,46,No Pay,16,Divorced,6260,US,40,Male,White,California,3200,8.070906089,4717,8.458928283
high-school,LGL,33, Private Employee,16,One of Single,6240,non US,25,Male,non White,Washington,14800,9.60238246,4043,8.30474227
Associate's degree,LGL,47, Private Employee,20,Married,3322,US,40,Male,White,Arizona,355000,12.77987307,73,4.290459441
high-school,MGR,49, Private Employee,16,Divorced,51,US,40,Female,White,Pennsylvania,40000,10.59663473,2353,7.763446389
high-school,LGL,48,Government Employee,16,Married,9630,non US,40,Female,non White,Massachusetts,72000,11.1844214,1092,6.995766156
high-school,LGL,55, Private Employee,16,Divorced,3602,US,40,Female,White,Idaho,27000,10.20359214,3189,8.067462667
post-high-school,LGL,26, Private Employee,19,One of Single,6355,US,40,Male,White,New Hampshire,22000,9.998797732,3538,8.171316875
Bachelor's degree,LGL,24, Private Employee,21,One of Single,4840,US,40,Male,White,Illinois,30000,10.30895266,2949,7.989221409
high-school,LGL,24, Private Employee,17,One of Single,4720,US,30,Male,White,Missouri,10000,9.210340372,4271,8.359603271
Bachelor's degree,SCI,24,Government Employee,21,One of Single,1970,US,50,Male,White,Pennsylvania,30000,10.30895266,2949,7.989221409
high-school,LGL,63, Private Employee,16,Married,5120,US,40,Female,White,Texas,50000,10.81977828,1785,7.487173694
high-school,LGL,41, Private Employee,16,One of Single,2634,US,40,Female,non White,Nevada,30000,10.30895266,2949,7.989221409
post-high-school,BUS,56, Private Employee,19,Divorced,530,US,50,Female,White,California,56000,10.93310697,1595,7.374629015
Bachelor's degree,FIN,26, Private Employee,21,One of Single,800,US,40,Male,non White,New York,35000,10.46310334,2685,7.895436007
Professional degree,LGL,64,Government Employee,23,Married,2205,US,25,Female,White,Puerto Rico,49000,10.79957558,1937,7.568895663
Professional degree,LGL,56,Government Employee,23,Married,2310,US,18,Female,non White,Georgia,64800,11.07906088,1328,7.19142933
Bachelor's degree,BUS,35, Private Employee,21,Divorced,700,non US,38,Female,White,New Jersey,61300,11.02353512,1383,7.232010332
high-school,LGL,62,Government Employee,16,Married,7340,non US,40,Male,White,New York,49000,10.79957558,1937,7.568895663
Master's degree,LGL,32, Private Employee,22,Married,3258,US,40,Female,White,South Carolina,110000,11.60823564,499,6.212606096
post-high-school,CMM,48,Government Employee,19,One of Single,1220,US,35,Female,White,Minnesota,38000,10.54534144,2526,7.834392303
no diploma,LGL,40, Private Employee,13,Separated,8320,US,40,Female,White,North Carolina,23000,10.04324949,3498,8.159946656
post-high-school,LGL,63, Private Employee,18,Divorced,3603,US,24,Female,White,Alabama,23000,10.04324949,3498,8.159946656
post-high-school,LGL,25, Private Employee,18,Married,4110,non US,80,Male,White,Colorado,18000,9.798127037,3810,8.245384468
Associate's degree,LGL,54, Private Employee,20,Married,4600,US,35,Female,White,Maryland,25000,10.1266311,3296,8.100464891
post-high-school,FIN,32,Government Employee,19,Married,800,US,26,Male,White,Virginia,20000,9.903487553,3651,8.202756382
Bachelor's degree,LGL,32,Government Employee,21,Married,3870,US,40,Male,non White,Oregon,40000,10.59663473,2353,7.763446389
post-high-school,LGL,23, Private Employee,18,One of Single,4030,US,40,Female,non White,Missouri,17000,9.740968623,3877,8.262816938
Bachelor's degree,LGL,51, Private Employee,21,Married,3255,US,40,Female,White,Illinois,75000,11.22524339,1002,6.909753282
high-school,LGL,53, Private Employee,16,Married,6230,non US,40,Male,non White,Massachusetts,49000,10.79957558,1937,7.568895663
Bachelor's degree,LGL,32, Private Employee,21,Married,2310,US,45,Female,White,Missouri,32000,10.37349118,2855,7.956827122
post-high-school,LGL,39, Private Employee,19,One of Single,5740,US,6,Female,White,Tennesse,4300,8.366370302,4652,8.445052514
Master's degree,BUS,40,Self-Employed,22,Married,705,non US,30,Female,White,California,170000,12.04355372,222,5.402677382
post-high-school,LGL,24, Private Employee,19,One of Single,4110,US,40,Female,White,Texas,20000,9.903487553,3651,8.202756382
post-high-school,CMM,36,Government Employee,19,Divorced,1006,US,40,Female,White,Oregon,38020,10.54586762,2525,7.833996342
Bachelor's degree,LGL,45, Private Employee,21,Married,4850,US,45,Male,White,Texas,130000,11.77528973,358,5.880532986
high-school,LGL,35, Private Employee,17,One of Single,6260,US,50,Male,non White,Texas,9100,9.116029693,4362,8.380685947
Bachelor's degree,LGL,41,Government Employee,21,Married,2310,US,45,Male,White,Iowa,50000,10.81977828,1785,7.487173694
Bachelor's degree,CMM,37,Government Employee,21,One of Single,1050,US,40,Female,White,Wyoming,60000,11.00209984,1409,7.250635512
Bachelor's degree,LGL,30, Private Employee,21,Married,2320,US,8,Female,White,Michigan,280,5.634789603,4991,8.515391569
Bachelor's degree,LGL,38,Government Employee,21,Divorced,2310,US,40,Male,White,Texas,52000,10.858999,1718,7.448916103
Bachelor's degree,MGR,24, Private Employee,21,One of Single,440,US,40,Male,White,Illinois,50000,10.81977828,1785,7.487173694
Master's degree,CMS,84, Private Employee,22,Married,2040,US,46,Male,non White,Ohio,75000,11.22524339,1002,6.909753282
high-school,LGL,46,Government Employee,16,Married,3740,US,48,Male,White,New York,41000,10.62132735,2315,7.747164967
high-school,LGL,45,Government Employee,16,Married,9620,US,40,Male,White,Illinois,40000,10.59663473,2353,7.763446389
Bachelor's degree,LGL,26, Private Employee,21,One of Single,2205,non US,6,Male,White,Massachusetts,4000,8.29404964,4666,8.448057453
high-school,LGL,18, Private Employee,16,One of Single,4720,US,32,Female,non White,Pennsylvania,4000,8.29404964,4666,8.448057453
Bachelor's degree,LGL,36, Private Employee,21,One of Single,5240,US,40,Female,White,Hawaii,40000,10.59663473,2353,7.763446389
post-high-school,LGL,20,No Pay,18,One of Single,7750,US,10,Male,White,Texas,4300,8.366370302,4652,8.445052514
Bachelor's degree,BUS,26, Private Employee,21,Married,710,non US,45,Female,White,Tennesse,23000,10.04324949,3498,8.159946656
high-school,MGR,40,Self-Employed,17,Married,220,non US,60,Male,non White,Texas,165000,12.01370075,236,5.463831805
post-high-school,LGL,60, Private Employee,18,Divorced,4760,US,40,Female,White,Colorado,50000,10.81977828,1785,7.487173694
high-school,LGL,27,Government Employee,16,One of Single,4220,US,40,Male,White,Virginia,20000,9.903487553,3651,8.202756382
high-school,LGL,56, Private Employee,16,Married,3602,US,50,Female,White,Wisconsin,36000,10.49127422,2625,7.872836175
high-school,LGL,57, Private Employee,16,Divorced,6442,US,40,Male,White,New York,65010,11.08229638,1262,7.140453043
high-school,LGL,60, Private Employee,16,Married,5740,US,43,Female,White,Texas,80000,11.28978191,893,6.794586581
high-school,LGL,58, Private Employee,16,Married,4760,non US,43,Female,White,Georgia,22000,9.998797732,3538,8.171316875
high-school,LGL,35,Government Employee,16,Married,4020,US,40,Female,White,Oklahoma,13200,9.487972109,4101,8.318986125
high-school,LGL,48, Private Employee,16,Married,5110,US,40,Female,White,Kentucky,24000,10.08580911,3408,8.133880888
high-school,LGL,19, Private Employee,16,One of Single,9620,US,40,Male,White,Wisconsin,30000,10.30895266,2949,7.989221409
high-school,LGL,20,No Pay,16,One of Single,9610,US,10,Male,White,California,1300,7.170119543,4898,8.496582238
post-high-school,LGL,31, Private Employee,19,Married,4720,US,16,Female,non White,Florida,17000,9.740968623,3877,8.262816938
Bachelor's degree,BUS,40, Private Employee,21,Married,705,non US,40,Male,non White,Rhode Island,100000,11.51292546,592,6.383506635
Associate's degree,LGL,36,Government Employee,20,Married,3402,US,50,Male,White,Washington,85000,11.35040654,811,6.698268054
no diploma,LGL,18, Private Employee,14,One of Single,4720,US,3,Male,White,Nevada,11000,9.305650552,4236,8.351374707
high-school,LGL,61, Private Employee,16,Married,5610,US,45,Male,White,California,65000,11.08214255,1263,7.141245122
high-school,LGL,32,Government Employee,16,One of Single,2545,US,50,Female,White,Arkansas,49600,10.81174611,1928,7.564238475
high-school,LGL,34, Private Employee,16,One of Single,8250,US,40,Male,White,Pennsylvania,36000,10.49127422,2625,7.872836175
post-high-school,LGL,19, Private Employee,19,One of Single,4760,US,24,Male,White,New York,6400,8.764053269,4504,8.41272117
no diploma,LGL,70, Private Employee,9,Separated,9620,non US,40,Male,non White,New York,45200,10.71885237,2094,7.646831391
high-school,LGL,45, Private Employee,16,One of Single,8140,US,63,Male,non White,Virginia,23000,10.04324949,3498,8.159946656
Master's degree,LGL,27,Government Employee,22,One of Single,2310,US,40,Female,White,Florida,44000,10.69194491,2183,7.688455357
high-school,LGL,20, Private Employee,16,One of Single,7315,US,35,Male,non White,Louisiana,3500,8.160518247,4700,8.455317788
post-high-school,BUS,60,Government Employee,18,Married,630,US,40,Female,White,California,51020,10.83997299,1765,7.475905969
high-school,LGL,30, Private Employee,16,One of Single,4140,US,20,Male,non White,Louisiana,10500,9.259130536,4255,8.355850041
Associate's degree,LGL,44, Private Employee,20,Married,4930,US,52,Male,White,Pennsylvania,100200,11.51492347,588,6.376726948
post-high-school,LGL,35, Private Employee,19,Married,7340,US,32,Male,White,California,22000,9.998797732,3538,8.171316875
Associate's degree,LGL,54,Government Employee,20,Married,3870,US,50,Male,non White,California,140000,11.8493977,324,5.780743516
Bachelor's degree,MGR,31, Private Employee,21,Married,51,US,25,Female,White,Florida,24000,10.08580911,3408,8.133880888
Associate's degree,LGL,58, Private Employee,20,One of Single,5710,US,40,Female,White,Massachusetts,68000,11.12726298,1211,7.099201744
Bachelor's degree,FIN,60, Private Employee,21,Married,800,US,60,Male,White,Virginia,772000,13.55673983,3,1.098612289
no diploma,LGL,18, Private Employee,14,One of Single,4720,US,17,Female,White,Pennsylvania,5000,8.517193191,4584,8.430327258
high-school,LGL,55,Government Employee,16,Married,4020,US,30,Female,White,Ohio,11500,9.350102314,4220,8.347590407
Master's degree,CMM,58, Private Employee,22,Married,1005,US,40,Female,White,Michigan,115000,11.65268741,474,6.161207322
Bachelor's degree,FIN,51, Private Employee,21,One of Single,800,US,40,Female,White,Texas,50000,10.81977828,1785,7.487173694
Bachelor's degree,FIN,53, Private Employee,21,Married,800,US,40,Female,White,Virginia,50000,10.81977828,1785,7.487173694
